freq	lex	sub

-713.94762856	-550.839116037	-671.172476009
-701.23116525	-565.888914289	-696.408986227
-638.720856793	-534.184763117	-662.958896878
-822.211934977	-514.422267617	-694.355490054
-779.704809118	-596.799777222	-739.965389178
-780.654699828	-583.500813164	-727.091680586
-770.637036957	-529.771013046	-710.630215785
-682.677584278	-537.665349773	-712.71830505
-818.123111513	-600.479887877	-722.662594834
-724.292158942	-572.047733032	-720.91115728
-787.967784441	-564.197623458	-708.092709422
-709.33865789	-533.264483758	-672.248422254
-808.398943344	-551.968345817	-713.304740837
-754.15044747	-562.355730011	-754.047326496
-794.827935749	-524.385390471	-686.950416652
-720.924700573	-532.194790716	-712.192548722
-597.069258622	-533.438836264	-701.949821906
-627.731396717	-514.923938091	-684.361913374
-750.466757268	-587.46836857	-707.157694099
-657.204144594	-545.826012328	-696.780851131
-714.079853376	-545.269101388	-688.584637131
-733.787472774	-557.698797451	-689.951959874
-805.120287133	-522.66926591	-672.317809956
-679.018747883	-572.428351376	-641.378822132
-671.648305878	-540.398358358	-681.811864883
-692.436354823	-522.908176895	-688.011778478
-689.006979946	-561.817206672	-696.211666426
-708.651151499	-596.991154309	-720.443049509
-785.521450363	-540.59236206	-721.139180164
-772.458305455	-536.702600883	-696.44251065
-743.738420435	-524.765102762	-656.970949197
-704.692772087	-550.065409045	-711.453360397
-739.840692232	-537.022278741	-706.53938213
-757.992398825	-571.914752255	-713.275510356
-662.405703925	-516.309206501	-673.677564633
-854.518055814	-542.692710334	-675.554070337
-645.866443179	-547.416771469	-632.378475182
-716.850216376	-551.842964508	-674.345898099
-716.193230728	-538.751509476	-701.002448713
-688.669204656	-571.232859516	-662.169872399
-639.716455049	-572.168453477	-680.69695928
-699.54341414	-527.082791956	-691.381824182
-768.196950459	-562.042925199	-724.388454491
-712.873839025	-544.351558724	-690.172972336
-869.326937571	-535.748930863	-692.611186307
-737.316513343	-537.899851538	-723.441803596
-780.109729511	-555.797986934	-680.77765777
-734.507013874	-542.259189956	-722.04334153
-716.36277543	-582.536879935	-705.880424611
-699.640596119	-526.668211132	-687.777353151
-711.895001239	-531.322617146	-671.587750067
-699.888107171	-559.321675157	-734.660720186
-850.957816913	-605.592990943	-723.24061097
-667.779815194	-524.412573297	-701.384319629
-646.907947003	-518.530149452	-650.524334163
-800.62821802	-577.487605793	-740.184167851
-708.453270127	-607.753399742	-696.043652759
-765.298367282	-530.4024357	-668.471362606
-661.239995783	-506.351145729	-643.538186855
-679.197351825	-566.490403012	-667.504354474
-799.043206843	-581.78723976	-692.570490991
-853.135940122	-596.676447093	-763.01265277
-739.120722044	-560.056366836	-718.178394458
-692.70939616	-551.116508428	-687.528424089
-680.089041294	-513.618703987	-677.795678367
-774.084498134	-557.620357699	-743.714174733
-704.269896153	-522.813577945	-698.832414686
-702.2152568	-515.780682139	-665.621610217
-714.645275406	-542.934693882	-729.014162938
-778.272702781	-577.181941949	-726.611936898
-729.590990224	-535.262953759	-715.088871834
-724.728984015	-550.495569911	-708.898842935
-695.734643799	-570.663858224	-707.448860731
-785.704371799	-529.61594676	-708.204764294
-749.965884616	-600.123519445	-716.330415435
-846.204599816	-560.158605525	-722.261820928
-766.147549024	-569.294435925	-666.251738479
-772.749951242	-569.675681351	-719.173060178
-722.888204875	-532.25473073	-675.859719671
-592.762185502	-504.858862731	-650.285056048
-742.038082249	-535.881469291	-707.731411931
-698.599292413	-529.758320103	-678.108199493
-708.034957617	-531.699531244	-662.234139879
-773.053670089	-559.007639213	-696.848116902
-684.631034194	-552.384008988	-673.302154044
-712.099536763	-534.755752365	-708.915171273
-762.568408803	-546.334924163	-720.673991295
-705.611904136	-536.091118579	-673.128597228
-712.046805545	-534.976971259	-655.811849574
-730.23457912	-561.34449369	-714.589187001
-710.031488959	-519.548087935	-685.894845879
-727.841731846	-547.680802553	-677.758022738
-778.393210015	-567.551674946	-704.686040661
-696.453649435	-502.007486381	-686.768850926
-813.702335125	-589.453605587	-725.062249345
-813.565505905	-533.633166918	-653.009018228
-696.548141722	-547.264573733	-713.757264852
-796.657724113	-550.634760505	-674.186818232
-724.521433623	-555.930148103	-718.030878095
-705.745354869	-515.754473029	-701.920680436
-627.290818824	-542.148481829	-671.346435585
-727.4660692	-551.683773706	-702.328663991
-581.236584489	-487.281249792	-666.491196223
-714.403375832	-575.721755234	-709.800581063
-663.16019231	-571.951867901	-656.296087648
-763.921513656	-529.88938732	-682.337883086
-618.703497928	-504.582577354	-669.364310972
-717.895454497	-533.280847932	-659.129372112
-736.920074885	-568.793901842	-697.323742659
-795.884441592	-557.307107675	-707.38810562
-632.461447789	-468.934744035	-629.625822493
-703.439880928	-595.0629977	-732.912556383
-738.431692693	-520.635006389	-690.700847369
-698.456407031	-521.325752926	-737.223855554
-687.157645174	-508.055452413	-653.578194194
-680.571991004	-514.612424489	-686.092997557
-766.908308256	-511.714549464	-665.204196999
-753.835838701	-568.090058149	-700.752708491
-731.345885324	-558.627081168	-663.599198105
-794.419587085	-578.709518068	-719.280659797
-680.049033293	-525.31239139	-662.538489879
-751.890080771	-547.359436261	-700.789156558
-684.851939329	-560.235024743	-723.462557028
-717.928118934	-541.2034388	-701.735185571
-787.646373643	-613.38670847	-705.567255411
-700.571437592	-525.462445668	-649.480562557
-706.033548294	-557.017717434	-696.989439066
-745.122369989	-533.893600267	-720.272588977
-648.330346047	-516.462697372	-662.32165911
-772.933204991	-592.254013818	-745.832230733
-725.628474506	-554.473173789	-712.370018476
-774.654097421	-535.914725193	-708.321607305
-719.446273901	-587.827883603	-683.950437902
-714.636659801	-512.887630997	-652.783512105
-691.255817299	-553.305890055	-696.120259834
-796.775064805	-560.271113233	-672.453771526
-709.215680339	-562.574942142	-713.063368151
-782.48160171	-552.930828984	-735.067848613
-794.059441745	-607.183752328	-725.262681991
-671.993786339	-574.959236478	-730.616440029
-648.3908818	-547.096573561	-665.829387212
-682.192912613	-537.462830909	-728.391595953
-666.94735681	-533.269452964	-684.494594602
-741.877374556	-575.271281968	-719.950910255
-810.046666919	-563.399730209	-711.840800676
-793.127253369	-543.832588141	-693.951494857
-696.06114264	-525.728583313	-677.625972952
-762.783549512	-575.626591787	-681.373130395
-805.666750893	-592.516292867	-759.542262827
-682.086804214	-621.010625805	-662.405773088
-725.55335057	-552.235512149	-693.946824
-659.02730141	-538.208350653	-673.884209741
-705.529597331	-568.794937354	-705.518386111
-718.231286661	-494.775286714	-649.508426324
-692.371287755	-544.021047408	-701.603828319
-706.830617872	-523.603980312	-671.00388597
-737.248313992	-557.071599739	-711.54193927
-739.587890977	-543.8038093	-724.924250011
-728.750600762	-531.960549821	-687.461827317
-673.978158927	-505.423765777	-686.159247017
-714.231459137	-555.2894536	-693.659386474
-781.104185578	-576.778965419	-715.862747805
-770.574357231	-533.055251148	-711.305614571
-707.764930387	-530.923357338	-684.114558408
-825.040108945	-557.22885182	-733.73368539
-620.178563729	-512.894313929	-627.706615581
-683.281911509	-534.59485285	-701.518114803
-702.827224656	-572.986604606	-730.48876845
-735.15775905	-560.487879774	-676.829392974
-749.212783931	-522.306306886	-711.686798236
-702.937447448	-550.770939367	-736.792037873
-728.160586052	-525.884710653	-701.14679037
-670.400712175	-548.5175553	-689.318320715
-765.060268139	-558.651549396	-737.454999226
-747.761504622	-511.849487363	-673.182025531
-760.146008825	-561.782426189	-674.790140104
-626.085477927	-492.224585522	-643.367308862
-658.135544627	-540.379992531	-719.031959555
-831.76635222	-531.655385192	-730.144751874
-720.563504433	-529.302485513	-702.271892794
-775.975408565	-559.660195597	-733.499482229
-711.861876785	-524.096185502	-677.408481299
-684.727553628	-504.362690285	-700.617287682
-738.051008768	-542.976589435	-737.078472834
-852.299487012	-552.149995126	-693.347797096
-703.125385552	-539.567823156	-709.651680641
