freq	lex	sub

-185.865469504	-286.794280973	-230.055487288
-254.403212317	-377.948799363	-284.578967075
-237.429637603	-308.041772394	-236.801889243
-181.739385786	-298.825486834	-223.187247648
-205.034784867	-298.021827105	-236.419396609
-247.361313409	-309.379088166	-254.85970712
-230.738840715	-313.225561848	-242.921638318
-243.974247089	-328.364786866	-278.043914865
-223.763402454	-312.964641748	-254.697421235
-266.70803031	-313.759406921	-241.554634208
-230.358688808	-317.968620943	-244.163875863
-209.064895716	-269.895452993	-229.40097496
-272.282836734	-354.025251592	-265.417151362
-189.194267824	-312.528578776	-239.458641679
-213.462484918	-349.154659543	-269.230367781
-159.601676708	-302.887583271	-235.008463351
-234.181319363	-340.025409835	-272.864194867
-255.450375382	-326.595276365	-247.706782515
-236.415630067	-315.050719554	-254.126461474
-211.984582894	-296.33933137	-220.39199488
-189.253457172	-288.838943621	-232.887350212
-241.874103572	-326.413065109	-251.639868582
-200.209144729	-330.950681848	-259.146960436
-205.666957892	-305.365320399	-233.216608941
-174.030476696	-283.269122852	-244.784275948
-243.228773642	-295.49311926	-233.953420188
-242.582958009	-310.104884619	-244.588043898
-242.895298282	-337.340835505	-240.278382082
-243.49320566	-332.716121909	-245.812826674
-213.839231845	-294.777026228	-235.555136254
-193.866923524	-300.000734134	-240.624274915
-192.164930702	-298.492103909	-251.481924926
-230.675109293	-315.581215367	-263.211294704
-209.757744725	-276.82031218	-218.341583233
-205.498774458	-338.783303175	-263.179253661
-179.329801326	-314.450064436	-242.557874983
-172.593291471	-313.003936402	-249.830427381
-232.31219709	-335.867193743	-247.966878612
-207.149826524	-301.078377907	-248.014294718
-208.605431818	-308.589449865	-246.631769483
-206.522748698	-295.77195093	-230.126905593
-201.462275613	-315.15717589	-247.233400747
-226.600314984	-347.875771222	-255.994473327
-206.745510111	-319.876392543	-246.620995386
-208.082637793	-317.706593306	-263.121171198
-238.71149164	-318.325687535	-267.080836516
-217.037325371	-323.804254773	-246.865422514
-201.908606822	-336.762465644	-235.573249308
-192.622346913	-301.401237283	-242.950580965
-236.445973778	-330.897390604	-243.64594285
-179.616968871	-286.921210063	-224.142356431
-228.960262055	-342.222703462	-265.792561565
-175.60606556	-277.264220691	-245.739689187
-215.961706379	-284.411293632	-229.420187879
-226.208721852	-330.505849315	-260.344616737
-195.604181341	-309.125263152	-242.937280033
-179.030465322	-314.132598927	-237.615848892
-260.207955156	-333.543099091	-255.436508867
-225.356150817	-363.126630666	-271.409952009
-242.008282289	-310.874827574	-232.773085533
-231.927470589	-312.332441031	-243.827956495
-182.82342163	-279.50491839	-235.012336123
-220.208058658	-325.082473456	-240.75890828
-239.993030487	-320.975337089	-259.895696842
-220.026113393	-307.094489192	-249.814276517
-260.849953701	-334.708123456	-274.738691979
-213.623071016	-293.255374523	-240.048730702
-199.043932905	-292.583042361	-240.967052533
-240.116853132	-298.214352232	-256.871960734
-213.786035748	-319.588250808	-218.580592005
-191.640056706	-308.718107158	-251.934338619
-199.062087228	-338.952759804	-267.836617383
-264.249978977	-329.725809464	-251.24295752
-168.719131286	-297.767380417	-258.109268665
-227.751666394	-311.825364037	-239.068247999
-230.437257733	-334.233744982	-258.09256695
-226.373568046	-318.356968682	-269.171976371
-210.059025162	-311.848529137	-248.631412794
-179.108114078	-312.573105779	-248.523899141
-210.747916841	-295.917457868	-238.778474079
-173.086150351	-299.939443194	-247.462689181
-179.008121756	-308.579182641	-240.032712197
-165.648370044	-314.415921193	-252.779359537
-215.81986297	-315.296521823	-239.911929412
-210.250094046	-315.581001555	-229.792668349
-217.559884193	-298.80187462	-230.60435663
-209.772131445	-287.090468981	-209.07556351
-212.674842195	-319.83878493	-238.115054922
-191.965304242	-305.292822915	-235.1089914
-175.089950687	-275.952207856	-213.446112995
-200.388198987	-306.939243219	-220.845409292
-202.645909046	-328.079013175	-245.750536456
-210.078031378	-300.548543058	-251.260618215
-219.240567411	-300.425406746	-253.113808623
-210.383502367	-285.25751638	-206.725989619
-200.08890705	-331.481862197	-266.928398942
-233.958257489	-311.175782141	-251.265934992
-239.17976648	-332.671179671	-260.091193468
-188.756671243	-307.187843458	-263.710899421
-213.162204944	-295.519410307	-248.467100181
-189.810451124	-302.207719222	-227.749873017
-184.863919607	-281.698754965	-204.688582848
-216.39827218	-314.781490191	-257.132176589
-195.219253657	-331.828658121	-245.866603186
-225.45835521	-318.304918474	-249.956015893
-216.208369033	-288.341725707	-226.671568195
-222.657248844	-370.006604608	-264.851337869
-199.562643011	-300.953936533	-244.797926772
-238.394754227	-346.990915297	-276.294879073
-199.977939298	-357.837943247	-267.460522003
-229.42263459	-320.654866867	-262.934913966
-215.934362198	-321.326404991	-258.845838705
-202.402270743	-313.720048492	-243.583725437
-217.395003774	-336.158884868	-273.375092714
-188.44190654	-331.319044539	-253.481087609
-203.293809605	-321.233431263	-239.689855507
-240.035434343	-320.634758497	-245.769592912
-222.274520869	-308.620562023	-245.760592891
-235.783972345	-301.953456273	-218.42730695
-220.982443927	-295.341670947	-226.03713946
-148.316415684	-287.959501638	-219.74869925
-226.034421687	-313.422332057	-241.088958939
-213.771543733	-325.276336459	-264.243487617
-233.543663638	-321.621074098	-243.907180098
-205.489167353	-288.63796308	-253.081890909
-256.281691337	-360.080735035	-271.188160158
-224.515071422	-339.136680901	-242.647902737
-218.036578489	-328.972852346	-274.382365215
-199.046932565	-287.501060574	-240.548834826
-224.95463417	-321.946089802	-264.811566736
-178.199176274	-286.859795246	-245.719986286
-200.756614964	-299.886734804	-224.983125882
-213.100613474	-292.190147448	-220.344181558
-209.206461947	-357.258651812	-264.732836559
-221.005578202	-329.497413206	-253.369415088
-184.248914981	-320.486607938	-237.682625286
-186.709748579	-284.695229696	-244.112248429
-233.366996407	-302.305395752	-231.205182293
-203.66877125	-281.287802806	-210.371878509
-237.239694014	-339.810767178	-266.328651803
-223.887665317	-267.402870913	-221.41884502
-219.060297286	-313.432420508	-241.234564301
-179.260188027	-302.591901843	-238.585035624
-170.138067286	-289.715048255	-226.079652044
-219.856578243	-315.643192073	-246.901082269
-191.170070245	-318.287747319	-250.742771627
-217.822873208	-320.600872149	-260.306455122
-257.697214824	-323.796427398	-241.039140562
-229.916665067	-316.93629252	-239.544760945
-221.719720304	-339.248378141	-264.837642833
-211.659737257	-301.574737452	-262.982396242
-175.133207587	-307.235076317	-251.773400223
-189.80922079	-321.194747251	-247.81907547
-207.386584644	-313.344309634	-258.065260211
-188.922322344	-287.312870707	-223.33204413
-246.61819971	-316.876233239	-248.281546476
-201.274546959	-304.676828182	-248.634809362
-221.431457564	-340.220766662	-275.762343882
-214.642527799	-310.203607686	-230.053374801
-233.669522907	-319.730697823	-228.551288398
-212.204891456	-326.950659127	-248.619083599
-225.008921461	-365.843485865	-267.718230027
-196.629961462	-296.985095708	-248.030216886
-209.467644081	-318.999616359	-260.440155713
-175.428039193	-324.354182549	-257.12792399
-224.120556042	-311.566270261	-245.945287396
-206.93253723	-296.240311032	-215.531658215
-246.901743174	-372.636328569	-281.739757467
-232.806118751	-349.278212984	-267.287366018
-210.841266211	-305.474710699	-261.077228493
-200.456464441	-303.627627083	-247.52005141
-247.154664378	-316.530757493	-267.859676576
-208.283113164	-283.812967949	-217.520270202
-188.205123923	-286.980879167	-209.573713329
-195.290120748	-272.669673838	-240.830200365
-225.883730424	-342.872438559	-259.182099992
-169.397045734	-313.1790828	-251.602955092
-217.737506681	-331.470331567	-258.005762491
-204.43141138	-289.815439221	-254.426248553
-174.458842512	-272.429876015	-227.412342251
-217.468552991	-300.10999609	-263.132401252
-185.707090893	-289.091444909	-224.63953608
-240.434020449	-309.785208144	-230.996583956
-216.930110287	-330.809795227	-262.320099517
-186.125590247	-309.914000107	-238.139879052
-223.403621409	-310.423508257	-229.51283791
-181.590930285	-284.922033246	-231.180757265
-190.783061931	-294.43194257	-227.174218901
-175.659446041	-288.804654806	-223.058985657
-205.611441386	-311.987958039	-237.651619476
-226.169623057	-320.416967152	-260.551969362
-244.509862271	-332.435344243	-256.706282207
-213.456419432	-333.271742527	-251.859376437
-233.141481461	-317.816250437	-252.443600298
